Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227232;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Подтверждение уставки;MasterSCADA.Attribute;;
2227233;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Местный режим;MasterSCADA.Attribute;;
2227234;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Дистанционный режим;MasterSCADA.Attribute;;
2227235;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227236;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Ключ управления;MasterSCADA.Attribute;;
2227249;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Название механизма;MasterSCADA.Attribute;;
2227250;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Текущий режим;MasterSCADA.Attribute;;
2227251;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Текущее положение;MasterSCADA.Attribute;;
2227252;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Уставка;MasterSCADA.Attribute;;
2227253;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Подпись при наведении;MasterSCADA.Attribute;;
2227254;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Слово состояния;MasterSCADA.Attribute;;
2227255;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Слово положения;MasterSCADA.Attribute;;
2227256;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Блокировка управления;MasterSCADA.Attribute;;
2227257;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.В процессе открывания;MasterSCADA.Attribute;;
2227258;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.В процессе закрывания;MasterSCADA.Attribute;;
2227259;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Автоматический режим;MasterSCADA.Attribute;;
2227260;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Ручной режим;MasterSCADA.Attribute;;
2227261;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Статус режим;MasterSCADA.Attribute;;
2227262;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Сброс;MasterSCADA.Attribute;;
2227263;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Открыть;MasterSCADA.Attribute;;
2227264;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Закрыть;MasterSCADA.Attribute;;
2227265;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Подтверждение уставки;MasterSCADA.Attribute;;
2227266;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Местный режим;MasterSCADA.Attribute;;
2227267;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Дистанционный режим;MasterSCADA.Attribute;;
2227268;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227269;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_8.Ключ управления;MasterSCADA.Attribute;;
2227282;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Название механизма;MasterSCADA.Attribute;;
2227283;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Текущий режим;MasterSCADA.Attribute;;
2227284;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Текущее положение;MasterSCADA.Attribute;;
2227285;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Уставка;MasterSCADA.Attribute;;
2227286;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Подпись при наведении;MasterSCADA.Attribute;;
2227287;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Слово состояния;MasterSCADA.Attribute;;
2227288;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Слово положения;MasterSCADA.Attribute;;
2227289;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Блокировка управления;MasterSCADA.Attribute;;
2227290;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.В процессе открывания;MasterSCADA.Attribute;;
2227291;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.В процессе закрывания;MasterSCADA.Attribute;;
2227292;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Автоматический режим;MasterSCADA.Attribute;;
